CustomerKey,GeographyKey,CustomerLabel,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,Phone,DateFirstPurchase,CustomerType
1,680,11000,Jon,Yang,1966-04-08,M,M,jon24@adventure-works.com,90000.0,2.0,0.0,Grado,Profesional,1.0,0.0,3761 N. 14th St,1 (11) 500 555-0162,2001-07-22,Person
2,692,11001,Eugene,Huang,1965-05-14,S,M,eugene10@adventure-works.com,60000.0,3.0,3.0,Grado,Profesional,0.0,1.0,2243 W St.,1 (11) 500 555-0110,2001-07-18,Person
3,493,11002,Ruben,Torres,1965-08-12,M,M,ruben35@adventure-works.com,60000.0,3.0,3.0,Grado,Profesional,1.0,1.0,5844 Linden Land,1 (11) 500 555-0184,2001-07-10,Person
4,519,11003,Christy,Zhu,1968-02-15,S,F,christy12@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,1.0,1825 Village Pl.,1 (11) 500 555-0162,2001-07-01,Person
5,706,11004,Elizabeth,Johnson,1968-08-08,S,F,elizabeth5@adventure-works.com,80000.0,5.0,5.0,Grado,Profesional,1.0,4.0,7553 Harness Circle,1 (11) 500 555-0131,2001-07-26,Person
6,478,11005,Julio,Ruiz,1965-08-05,S,M,julio1@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,1.0,1.0,7305 Humphrey Drive,1 (11) 500 555-0151,2001-07-02,Person
7,509,11006,Janet,Alvarez,1965-12-06,S,F,janet9@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,1.0,1.0,2612 Berry Dr,1 (11) 500 555-0184,2001-07-27,Person
8,568,11007,Marco,Mehta,1964-05-09,M,M,marco14@adventure-works.com,60000.0,3.0,3.0,Grado,Profesional,1.0,2.0,942 Brook Street,1 (11) 500 555-0126,2001-07-12,Person
9,425,11008,Rob,Verhoff,1964-07-07,S,F,rob4@adventure-works.com,60000.0,4.0,4.0,Grado,Profesional,1.0,3.0,624 Peabody Road,1 (11) 500 555-0164,2001-07-28,Person
10,492,11009,Shannon,Carlson,1964-04-01,S,M,shannon38@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,1.0,3839 Northgate Road,1 (11) 500 555-0110,2001-07-30,Person
11,478,11010,Jacquelyn,Suarez,1964-02-06,S,F,jacquelyn20@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,1.0,7800 Corrinne Court,1 (11) 500 555-0169,2001-07-17,Person
12,478,11011,Curtis,Lu,1963-11-04,M,M,curtis9@adventure-works.com,60000.0,4.0,4.0,Grado,Profesional,1.0,4.0,1224 Shoenic,1 (11) 500 555-0117,2001-07-02,Person
13,442,11012,Lauren,Walker,1968-01-18,M,F,lauren41@adventure-works.com,100000.0,2.0,0.0,Grado,Administración,1.0,2.0,4785 Scott Street,717-555-0164,2003-09-17,Person
14,500,11013,Ian,Jenkins,1968-08-06,M,M,ian47@adventure-works.com,100000.0,2.0,0.0,Grado,Administración,1.0,3.0,7902 Hudson Ave.,817-555-0185,2003-10-15,Person
15,677,11014,Sydney,Bennett,1968-05-09,S,F,sydney23@adventure-works.com,100000.0,3.0,0.0,Grado,Administración,0.0,3.0,9011 Tank Drive,431-555-0156,2003-09-24,Person
16,443,11015,Chloe,Young,1979-02-27,S,F,chloe23@adventure-works.com,30000.0,0.0,0.0,Grado parcial,Manual calificado,0.0,1.0,244 Willow Pass Road,208-555-0142,2003-07-22,Person
17,494,11016,Wyatt,Hill,1979-04-28,M,M,wyatt32@adventure-works.com,30000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,1.0,9666 Northridge Ct.,135-555-0171,2003-08-13,Person
18,699,11017,Shannon,Wang,1944-06-26,S,F,shannon1@adventure-works.com,20000.0,4.0,0.0,Bachillerato,Manual calificado,1.0,2.0,7330 Saddlehill Lane,1 (11) 500 555-0195,2001-07-15,Person
19,425,11018,Clarence,Rai,1944-10-09,S,M,clarence32@adventure-works.com,30000.0,2.0,0.0,Grado parcial,Clerical,1.0,2.0,244 Rivewview,1 (11) 500 555-0137,2001-07-20,Person
20,499,11019,Luke,Lal,1978-03-07,S,M,luke18@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,0.0,2.0,7832 Landing Dr,262-555-0112,2003-08-16,Person
21,511,11020,Jordan,King,1978-09-20,S,M,jordan73@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,0.0,2.0,7156 Rose Dr.,550-555-0163,2003-07-02,Person
22,580,11021,Destiny,Wilson,1978-09-03,S,F,destiny7@adventure-works.com,40000.0,0.0,0.0,Grado parcial,Manual calificado,0.0,1.0,8148 W. Lake Dr.,622-555-0158,2003-07-27,Person
23,583,11022,Ethan,Zhang,1978-10-12,M,M,ethan20@adventure-works.com,40000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,1.0,1769 Nicholas Drive,589-555-0185,2003-07-24,Person
24,582,11023,Seth,Edwards,1978-10-11,M,M,seth46@adventure-works.com,40000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,1.0,4499 Valley Crest,452-555-0188,2003-08-21,Person
